group,symbol,ticker,strategy,fill_time_ns,fill_price,fill_qty,is_buy,mid_price_at_fill,toxicity_at_fill,adverse_measured,adverse_pnl,cancel_ratio,ping_ratio,odd_lot_ratio,precision_ratio,resistance_ratio,trade_flow_imbalance,spread_change_rate,price_momentum
8,53,ACGL,toxicity,1692714591135574987,74.7200,12,0,74.7100,0.2341,1,-0.0270,0.4616,0.0098,0.3165,0.0000,0.0000,0.1714,-0.7143,-0.0005
8,53,ACGL,baseline,1692714591135574987,74.7200,12,0,74.7100,0.2341,1,-0.0270,0.4616,0.0098,0.3165,0.0000,0.0000,0.1714,-0.7143,-0.0005
8,53,ACGL,baseline,1692731606073136023,74.7500,1,0,74.7450,0.2503,1,-0.0006,0.4606,0.0450,0.3803,0.0000,0.0000,0.2099,-0.2857,0.0000
8,223,AMSC,toxicity,1692714319325862162,8.9700,100,1,8.9750,0.1238,1,-0.1500,0.2540,0.0000,0.0000,0.0000,0.2222,1.0000,0.0000,0.0000
8,223,AMSC,baseline,1692714319325862162,8.9700,100,1,8.9750,0.1238,1,-0.1500,0.2540,0.0000,0.0000,0.0000,0.2222,1.0000,0.0000,0.0000
8,496,BIIB,baseline,1692731989477617453,264.3300,7,1,264.3300,0.2536,0,0.0000,0.2776,0.2127,0.6669,0.0000,0.0000,0.8844,1.5714,-0.0006
8,529,BMRC,toxicity,1692731792468626395,19.0300,123,1,19.0350,0.1667,0,0.0000,0.0758,0.0000,0.9091,0.0000,0.0000,1.0000,0.0000,0.0000
8,529,BMRC,baseline,1692731792468626395,19.0300,123,1,19.0350,0.1667,0,0.0000,0.0758,0.0000,0.9091,0.0000,0.0000,1.0000,0.0000,0.0000
8,742,CERS,toxicity,1692731473879151971,1.7100,400,1,1.7150,0.1104,1,0.0000,0.2656,0.0091,0.0154,0.0000,0.0000,1.0000,0.0000,0.0000
8,742,CERS,toxicity,1692731473879151971,1.7100,100,1,1.7150,0.1104,1,0.0000,0.2656,0.0091,0.0154,0.0000,0.0000,1.0000,0.0000,0.0000
8,742,CERS,baseline,1692731473879151971,1.7100,400,1,1.7150,0.1104,1,0.0000,0.2656,0.0091,0.0154,0.0000,0.0000,1.0000,0.0000,0.0000
8,742,CERS,baseline,1692731473879151971,1.7100,100,1,1.7150,0.1104,1,0.0000,0.2656,0.0091,0.0154,0.0000,0.0000,1.0000,0.0000,0.0000
8,742,CERS,baseline,1692731474217937957,1.7100,500,1,1.7150,0.1092,1,-0.0750,0.2629,0.0088,0.0149,0.0000,0.0000,1.0000,0.0000,0.0000
8,1080,LIVN,toxicity,1692731694673758803,55.3900,28,1,55.4000,0.2413,1,-0.0126,0.3670,0.1931,0.3725,0.0000,0.0000,-0.5267,-0.6250,0.0005
8,1080,LIVN,baseline,1692731694673758803,55.3900,28,1,55.4000,0.2413,1,-0.0126,0.3670,0.1931,0.3725,0.0000,0.0000,-0.5267,-0.6250,0.0005
8,1693,GGAL,toxicity,1692714255559532851,15.1200,12,1,15.1400,0.0970,1,-0.0018,0.2196,0.0000,0.0608,0.0000,0.0000,1.0000,-0.6667,-0.0066
8,1693,GGAL,baseline,1692714255559532851,15.1400,12,1,15.1400,0.0970,1,-0.0018,0.2196,0.0000,0.0608,0.0000,0.0000,1.0000,-0.6667,-0.0066
8,1693,GGAL,baseline,1692714255559605025,15.1300,100,1,15.1400,0.0981,1,-0.0150,0.2224,0.0000,0.0608,0.0000,0.0000,1.0000,-0.6667,-0.0066
8,1693,GGAL,baseline,1692714255559660362,15.1300,56,1,15.1350,0.1255,1,0.0000,0.2910,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559779535,15.1300,44,1,15.1350,0.1207,1,0.0000,0.2788,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559779535,15.1300,37,1,15.1350,0.1207,1,0.0000,0.2788,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559832502,15.1300,100,1,15.1350,0.1190,1,0.0000,0.2747,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559832502,15.1300,63,1,15.1350,0.1190,1,0.0000,0.2747,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559907359,15.1300,81,1,15.1350,0.1175,1,0.0000,0.2710,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559934829,15.1300,19,1,15.1350,0.1162,1,0.0000,0.2677,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559934829,15.1300,81,1,15.1350,0.1162,1,0.0000,0.2677,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559948715,15.1300,10,1,15.1350,0.1150,1,0.0000,0.2648,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559959740,15.1300,90,1,15.1350,0.1150,1,0.0000,0.2648,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559959740,15.1300,10,1,15.1350,0.1150,1,0.0000,0.2648,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255559997741,15.1300,100,1,15.1350,0.1140,1,0.0000,0.2622,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
8,1693,GGAL,baseline,1692714255560262744,15.1300,100,1,15.1350,0.1130,1,0.0000,0.2598,0.0000,0.0608,0.0000,0.0000,1.0000,-0.7222,-0.0069
