group,symbol,ticker,strategy,fill_time_ns,fill_price,fill_qty,is_buy,mid_price_at_fill,toxicity_at_fill,adverse_measured,adverse_pnl,cancel_ratio,ping_ratio,odd_lot_ratio,precision_ratio,resistance_ratio,trade_flow_imbalance,spread_change_rate,price_momentum
6,64,ACTG,toxicity,1692713340500175530,3.7200,22,1,3.7250,0.0909,0,0.0000,0.2271,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
6,64,ACTG,baseline,1692713340500175530,3.7200,22,1,3.7250,0.0909,0,0.0000,0.2271,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
6,64,ACTG,baseline,1692713340500208948,3.7200,2,1,3.7250,0.0909,0,0.0000,0.2271,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
6,208,AMKR,toxicity,1692713262163894239,25.6900,34,1,25.6950,0.1868,1,-0.0663,0.4184,0.0000,0.1295,0.0000,0.0000,1.0000,0.0000,0.0000
6,208,AMKR,baseline,1692713262163894239,25.6900,34,1,25.6950,0.1868,1,-0.0663,0.4184,0.0000,0.1295,0.0000,0.0000,1.0000,0.0000,0.0000
6,208,AMKR,baseline,1692713383753509074,25.6200,7,0,25.6200,0.1732,0,0.0000,0.3703,0.0512,0.0993,0.0000,0.0000,-0.2881,-0.3333,-0.0029
6,208,AMKR,baseline,1692713383753517021,25.6200,7,0,25.6200,0.1732,0,0.0000,0.3703,0.0512,0.0993,0.0000,0.0000,-0.3152,-0.3333,-0.0029
6,223,AMSC,toxicity,1692713265750534430,8.9200,6,0,8.9150,0.0222,1,-0.0090,0.0556,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
6,223,AMSC,baseline,1692713265750534430,8.9200,6,0,8.9150,0.0222,1,-0.0090,0.0556,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
6,223,AMSC,baseline,1692717708522376355,8.8500,100,0,8.8450,0.0898,1,-0.3750,0.2109,0.0000,0.0366,0.0000,0.0000,-0.5424,0.1818,-0.0079
6,223,AMSC,baseline,1692717979466888748,8.9600,44,1,8.9650,0.1779,1,0.0000,0.3828,0.0295,0.1263,0.0000,0.0000,-0.4388,0.0000,0.0056
6,223,AMSC,baseline,1692717979466898553,8.9600,12,1,8.9650,0.1779,1,0.0000,0.3828,0.0295,0.1263,0.0000,0.0000,-0.4184,0.0000,0.0056
6,223,AMSC,baseline,1692718044925875789,8.9800,16,1,8.9800,0.1506,1,0.0000,0.3031,0.0222,0.1661,0.0000,0.0000,-0.2320,-0.2727,0.0073
6,223,AMSC,baseline,1692718087740349015,8.9800,10,1,8.9800,0.1547,0,0.0000,0.3031,0.0222,0.1939,0.0000,0.0000,-0.2195,-0.2727,0.0073
6,430,NOTV,toxicity,1692712959871696454,3.2600,39,0,3.2500,0.0500,1,-0.0702,0.0000,0.0000,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
6,430,NOTV,toxicity,1692712959871706256,3.2600,42,0,3.2500,0.0500,1,-0.0756,0.0000,0.0000,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
6,430,NOTV,baseline,1692712959871696454,3.2600,39,0,3.2500,0.0500,1,-0.0702,0.0000,0.0000,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
6,430,NOTV,baseline,1692712959871706256,3.2600,42,0,3.2500,0.0500,1,-0.0756,0.0000,0.0000,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
6,430,NOTV,baseline,1692713335147616999,3.3100,2,1,3.3100,0.1361,0,0.0000,0.2398,0.0959,0.1404,0.0000,0.0000,-0.9791,-0.8000,0.0185
6,1097,DAKT,toxicity,1692713337466003152,8.2100,88,1,8.2150,0.0500,0,0.0000,0.0667,0.0667,0.0667,0.0000,0.0000,0.0000,-0.5833,0.0080
6,1097,DAKT,baseline,1692713337466003152,8.2100,88,1,8.2150,0.0500,0,0.0000,0.0667,0.0667,0.0667,0.0000,0.0000,0.0000,-0.5833,0.0080
6,1114,DCTH,toxicity,1692713005046698044,5.2500,45,0,5.2400,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
6,1114,DCTH,baseline,1692713005046698044,5.2500,45,0,5.2400,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
6,1200,1200,toxicity,1692713197590006655,3.2100,19,0,3.2050,0.0320,1,-0.0114,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,-0.0047
6,1200,1200,baseline,1692713197590006655,3.2100,19,0,3.2050,0.0320,1,-0.0114,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,-0.0047
6,1200,1200,baseline,1692713197628399918,3.2300,42,0,3.2250,0.1117,0,0.0000,0.2692,0.0000,0.0271,0.0000,0.0000,-0.3333,-0.5000,0.0016
6,1293,EEFT,toxicity,1692721708020525887,83.8500,4,1,83.8600,0.2568,0,0.0000,0.4442,0.0556,0.3925,0.0000,0.0909,1.0000,0.0000,0.0000
6,1293,EEFT,baseline,1692721708020525887,83.8500,4,1,83.8600,0.2568,0,0.0000,0.4442,0.0556,0.3925,0.0000,0.0909,1.0000,0.0000,0.0000
6,1293,EEFT,baseline,1692721708020565086,83.8500,30,1,83.8600,0.2568,0,0.0000,0.4442,0.0556,0.3925,0.0000,0.0909,1.0000,0.0000,0.0000
6,1425,EXPE,toxicity,1692721341949317855,108.7700,41,1,108.7800,0.2526,1,0.0000,0.4201,0.0932,0.4397,0.0000,0.0000,-0.0957,-0.8400,0.0022
6,1425,EXPE,baseline,1692721341949317855,108.7800,41,1,108.7800,0.2526,1,0.0000,0.4201,0.0932,0.4397,0.0000,0.0000,-0.0957,-0.8400,0.0022
6,1425,EXPE,baseline,1692721522880782915,108.9100,58,1,108.9200,0.2670,0,0.0000,0.4527,0.0986,0.3843,0.0000,0.0854,0.2455,-0.6800,0.0035
