group,symbol,ticker,strategy,fill_time_ns,fill_price,fill_qty,is_buy,mid_price_at_fill,toxicity_at_fill,adverse_measured,adverse_pnl,cancel_ratio,ping_ratio,odd_lot_ratio,precision_ratio,resistance_ratio,trade_flow_imbalance,spread_change_rate,price_momentum
3,208,AMKR,toxicity,1692725330311291729,25.4800,12,0,25.4700,0.1343,0,0.0000,0.3007,0.0000,0.0938,0.0000,0.0000,-1.0000,0.5000,0.0000
3,208,AMKR,baseline,1692725330311291729,25.4800,12,0,25.4700,0.1343,0,0.0000,0.3007,0.0000,0.0938,0.0000,0.0000,-1.0000,0.5000,0.0000
3,234,AMZN,toxicity,1692724873165834823,134.1800,50,0,134.1700,0.2381,1,0.0000,0.4468,0.1005,0.2621,0.0000,0.0000,-0.2261,1.0000,0.0004
3,234,AMZN,baseline,1692724873165834823,134.1800,50,0,134.1700,0.2381,1,0.0000,0.4468,0.1005,0.2621,0.0000,0.0000,-0.2261,1.0000,0.0004
3,234,AMZN,baseline,1692724930718957826,134.1200,1,1,134.1250,0.2566,1,0.0000,0.4737,0.1146,0.2945,0.0000,0.0000,-0.0063,0.5000,0.0001
3,234,AMZN,baseline,1692724941425017313,134.1300,100,0,134.1250,0.2593,1,0.0000,0.4753,0.1339,0.2826,0.0000,0.0000,-0.2440,0.5000,0.0001
3,234,AMZN,baseline,1692724941425017313,134.1300,50,0,134.1300,0.2661,1,0.0000,0.4741,0.1438,0.3180,0.0000,0.0000,-0.3248,0.5000,0.0001
3,234,AMZN,baseline,1692724941425017313,134.1300,100,0,134.1350,0.2624,1,0.0000,0.4729,0.1317,0.3124,0.0000,0.0000,-0.4437,0.5000,0.0001
3,234,AMZN,baseline,1692725212956699633,134.2300,29,1,134.2300,0.2281,1,0.0000,0.4315,0.0842,0.2577,0.0000,0.0000,0.1250,-0.0000,0.0009
3,234,AMZN,baseline,1692725326673025183,134.3200,100,0,134.3100,0.2515,1,-0.0450,0.4847,0.1120,0.2348,0.0000,0.0000,0.0728,0.0000,0.0015
3,234,AMZN,baseline,1692725356029806685,134.3300,28,1,134.3350,0.2274,1,-0.0084,0.4573,0.0653,0.2093,0.0000,0.0000,0.1137,-0.5000,0.0017
3,234,AMZN,baseline,1692725356029806685,134.3300,37,1,134.3350,0.2274,1,-0.0111,0.4573,0.0653,0.2093,0.0000,0.0000,0.1265,-0.5000,0.0017
3,389,389,toxicity,1692724847847259670,91.6200,26,1,91.6250,0.1621,1,-0.0078,0.3331,0.0175,0.1688,0.0000,0.0000,1.0000,0.0000,0.0000
3,389,389,toxicity,1692724847847259670,91.6200,10,1,91.6250,0.1621,1,-0.0030,0.3331,0.0175,0.1688,0.0000,0.0000,1.0000,0.0000,0.0000
3,389,389,baseline,1692724847847259670,91.6200,26,1,91.6250,0.1621,1,-0.0078,0.3331,0.0175,0.1688,0.0000,0.0000,1.0000,0.0000,0.0000
3,389,389,baseline,1692724847847259670,91.6200,10,1,91.6250,0.1621,1,-0.0030,0.3331,0.0175,0.1688,0.0000,0.0000,1.0000,0.0000,0.0000
3,389,389,baseline,1692724925380932662,91.6100,8,0,91.6050,0.1808,1,0.0000,0.3616,0.0130,0.2237,0.0000,0.0000,0.2563,0.0000,-0.0002
3,389,389,baseline,1692724941561636398,91.6100,66,0,91.6050,0.1858,1,0.0000,0.3824,0.0058,0.2112,0.0000,0.0000,0.1722,0.0000,-0.0002
3,389,389,baseline,1692725126245816936,91.6000,100,1,91.6050,0.2082,1,0.0000,0.4674,0.0256,0.1076,0.0000,0.0000,0.2545,0.0000,-0.0002
3,389,389,baseline,1692725126245816936,91.6000,1,1,91.6050,0.2082,1,0.0000,0.4674,0.0256,0.1076,0.0000,0.0000,0.2552,0.0000,-0.0002
3,389,389,baseline,1692725126245847856,91.6000,100,1,91.6050,0.2078,1,0.0000,0.4664,0.0255,0.1076,0.0000,0.0000,0.3225,0.0000,-0.0002
3,389,389,baseline,1692725126245909957,91.6000,100,1,91.6050,0.2083,1,-0.0300,0.4678,0.0255,0.1074,0.0000,0.0000,0.3786,0.0000,-0.0002
3,389,389,baseline,1692725126245933732,91.6000,1,1,91.6050,0.2083,1,-0.0003,0.4678,0.0255,0.1074,0.0000,0.0000,0.3791,0.0000,-0.0002
3,389,389,baseline,1692725126245942625,91.6000,1,1,91.6050,0.2083,1,-0.0003,0.4678,0.0255,0.1074,0.0000,0.0000,0.3797,0.0000,-0.0002
3,389,389,baseline,1692725126245942625,91.6000,1,1,91.6050,0.2083,1,-0.0003,0.4678,0.0255,0.1074,0.0000,0.0000,0.3802,0.0000,-0.0002
3,389,389,baseline,1692725126245963619,91.6000,1,1,91.6050,0.2083,1,-0.0003,0.4678,0.0255,0.1074,0.0000,0.0000,0.3807,0.0000,-0.0002
3,389,389,baseline,1692725126246138632,91.6000,100,1,91.6050,0.2079,1,-0.0300,0.4656,0.0254,0.1105,0.0000,0.0000,0.4279,0.0000,-0.0002
3,389,389,baseline,1692725172810312742,91.6200,100,1,91.6250,0.2004,1,-0.0300,0.4564,0.0070,0.1094,0.0000,0.0000,0.4799,0.0000,0.0000
3,389,389,baseline,1692725172810412404,91.6200,71,1,91.6250,0.2003,1,-0.0213,0.4551,0.0070,0.1125,0.0000,0.0000,0.4961,0.0000,0.0000
3,389,389,baseline,1692725259411643748,91.6300,100,0,91.6250,0.2075,1,-0.0300,0.4562,0.0055,0.1597,0.0000,0.0000,0.4832,0.0000,0.0000
3,499,OPCH,toxicity,1692724966755055994,35.1700,75,0,35.1650,0.1776,1,-0.0225,0.4046,0.0452,0.0452,0.0000,0.0000,-1.0000,0.0000,0.0000
3,499,OPCH,baseline,1692724966755000695,35.1700,1,0,35.1650,0.1776,1,0.0000,0.4046,0.0452,0.0452,0.0000,0.0000,-1.0000,0.0000,0.0000
3,499,OPCH,baseline,1692724966755000695,35.1700,12,0,35.1650,0.1776,1,0.0000,0.4046,0.0452,0.0452,0.0000,0.0000,-1.0000,0.0000,0.0000
3,499,OPCH,baseline,1692724966755055994,35.1700,75,0,35.1650,0.1776,1,-0.0225,0.4046,0.0452,0.0452,0.0000,0.0000,-1.0000,0.0000,0.0000
3,499,OPCH,baseline,1692724966755097459,35.1700,11,0,35.1650,0.1776,1,-0.0033,0.4046,0.0452,0.0452,0.0000,0.0000,-1.0000,0.0000,0.0000
3,499,OPCH,baseline,1692724966755266229,35.1700,2,0,35.1650,0.1776,1,-0.0006,0.4046,0.0452,0.0452,0.0000,0.0000,-1.0000,0.0000,0.0000
3,633,CAKE,toxicity,1692725366384991352,32.1800,80,1,32.1900,0.1653,1,-0.0240,0.2861,0.0000,0.3389,0.0000,0.0000,0.9783,-0.9130,-0.0020
3,633,CAKE,baseline,1692725366384991352,32.1800,80,1,32.1900,0.1653,1,-0.0240,0.2861,0.0000,0.3389,0.0000,0.0000,0.9783,-0.9130,-0.0020
3,754,CFFN,toxicity,1692725230971716187,6.0300,1,1,6.0350,0.2112,1,0.0000,0.2799,0.2271,0.2271,0.0000,0.1978,1.0000,0.0000,0.0000
3,754,CFFN,toxicity,1692725233897752786,6.0300,1,1,6.0350,0.2131,0,0.0000,0.2808,0.2315,0.2315,0.0000,0.1978,1.0000,0.0000,0.0000
3,754,CFFN,baseline,1692725230971716187,6.0300,1,1,6.0350,0.2112,1,0.0000,0.2799,0.2271,0.2271,0.0000,0.1978,1.0000,0.0000,0.0000
3,754,CFFN,baseline,1692725233897752786,6.0300,1,1,6.0350,0.2131,0,0.0000,0.2808,0.2315,0.2315,0.0000,0.1978,1.0000,0.0000,0.0000
3,795,CHRW,baseline,1692725284076333134,92.5600,14,1,92.5600,0.1993,1,-0.0357,0.4128,0.0000,0.2280,0.0000,0.0000,0.8667,1.4000,-0.0001
3,808,CINF,toxicity,1692725100217686817,103.4300,98,1,103.4350,0.1333,0,0.0000,0.1111,0.1111,0.4444,0.0000,0.0000,1.0000,-0.0714,-0.0000
3,808,CINF,toxicity,1692725100217686817,103.4300,2,1,103.4350,0.1333,0,0.0000,0.1111,0.1111,0.4444,0.0000,0.0000,1.0000,-0.0714,-0.0000
3,808,CINF,toxicity,1692725100217686817,103.4300,1,1,103.4350,0.1333,0,0.0000,0.1111,0.1111,0.4444,0.0000,0.0000,1.0000,-0.0714,-0.0000
3,994,CSGP,toxicity,1692725247322224683,79.1000,7,1,79.1050,0.2062,0,0.0000,0.3067,0.0556,0.4087,0.0000,0.1111,1.0000,0.2222,0.0006
3,994,CSGP,baseline,1692725247322224683,79.1000,7,1,79.1050,0.2062,0,0.0000,0.3067,0.0556,0.4087,0.0000,0.1111,1.0000,0.2222,0.0006
3,1050,1050,toxicity,1692725196122110196,11.0600,31,1,11.0700,0.1131,0,0.0000,0.1222,0.0333,0.2722,0.0000,0.1667,1.0000,-0.2000,0.0005
3,1264,1264,toxicity,1692725367736669972,14.1400,59,0,14.1350,0.1306,0,0.0000,0.0556,0.1667,0.5000,0.0000,0.0000,-1.0000,0.0000,0.0000
3,1264,1264,baseline,1692725367736669972,14.1400,59,0,14.1350,0.1306,0,0.0000,0.0556,0.1667,0.5000,0.0000,0.0000,-1.0000,0.0000,0.0000
3,1745,GNTX,toxicity,1692724828720207123,31.8600,1,0,31.8550,0.0856,0,0.0000,0.2140,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
3,1745,GNTX,baseline,1692724828720207123,31.8600,1,0,31.8550,0.0856,0,0.0000,0.2140,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
3,1758,GPRO,baseline,1692725066477962234,3.6700,21,0,3.6650,0.0268,0,0.0000,0.0636,0.0000,0.0091,0.0000,0.0000,-1.0000,0.0000,0.0000
3,1758,GPRO,baseline,1692725066477985612,3.6700,47,0,3.6650,0.0268,0,0.0000,0.0636,0.0000,0.0091,0.0000,0.0000,-1.0000,0.0000,0.0000
3,1805,MNST,toxicity,1692725228116496473,57.3600,100,0,57.3550,0.2126,1,0.0000,0.4734,0.0128,0.1378,0.0000,0.0000,-0.4131,-0.9730,0.0035
3,1805,MNST,baseline,1692725228116496473,57.3600,100,0,57.3550,0.2126,1,0.0000,0.4734,0.0128,0.1378,0.0000,0.0000,-0.4131,-0.9730,0.0035
3,1805,MNST,baseline,1692725258786869882,57.3600,100,0,57.3550,0.2144,1,-0.0300,0.4793,0.0118,0.1354,0.0000,0.0000,-0.5432,-0.9730,0.0035
3,1805,MNST,baseline,1692725264327571316,57.3500,11,1,57.3550,0.2145,1,-0.0033,0.4787,0.0117,0.1381,0.0000,0.0000,-0.4653,-0.9730,0.0035
3,1821,HBNC,toxicity,1692725130639198474,11.0600,10,1,11.0650,0.0889,0,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
