group,symbol,ticker,strategy,fill_time_ns,fill_price,fill_qty,is_buy,mid_price_at_fill,toxicity_at_fill,adverse_measured,adverse_pnl,cancel_ratio,ping_ratio,odd_lot_ratio,precision_ratio,resistance_ratio,trade_flow_imbalance,spread_change_rate,price_momentum
10,562,BPOP,toxicity,1692733146852733754,64.1200,8,1,64.1300,0.2284,0,0.0000,0.4189,0.0247,0.3725,0.0000,0.0000,0.8291,1.0000,0.0016
10,562,BPOP,toxicity,1692733146852733754,64.1200,33,1,64.1300,0.2284,0,0.0000,0.4189,0.0247,0.3725,0.0000,0.0000,0.8667,1.0000,0.0016
10,562,BPOP,baseline,1692733146852733754,64.1200,8,1,64.1300,0.2284,0,0.0000,0.4189,0.0247,0.3725,0.0000,0.0000,0.8291,1.0000,0.0016
10,562,BPOP,baseline,1692733146852733754,64.1200,33,1,64.1300,0.2284,0,0.0000,0.4189,0.0247,0.3725,0.0000,0.0000,0.8667,1.0000,0.0016
10,562,BPOP,baseline,1692733146852765205,64.1200,3,1,64.1300,0.2284,0,0.0000,0.4189,0.0247,0.3725,0.0000,0.0000,0.8693,1.0000,0.0016
10,746,CEVA,toxicity,1692726745789784246,20.4000,4,0,20.3900,0.0833,1,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
10,746,CEVA,baseline,1692726745789784246,20.4000,4,0,20.3900,0.0833,1,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
10,746,CEVA,baseline,1692726745789852050,20.4000,21,0,20.3900,0.0833,1,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
10,746,CEVA,baseline,1692726745790028202,20.4000,1,0,20.3900,0.0833,1,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
10,746,CEVA,baseline,1692726745790784470,20.4000,13,0,20.3900,0.0833,1,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
10,746,CEVA,baseline,1692726931752916252,20.4000,4,0,20.3900,0.0833,1,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
10,746,CEVA,baseline,1692726931752925182,20.4000,55,0,20.3900,0.0833,1,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
10,746,CEVA,baseline,1692727106121180878,20.4000,4,0,20.3900,0.1417,0,0.0000,0.0000,0.3333,0.5000,0.0000,0.0000,-1.0000,0.0000,0.0000
10,837,CLAR,toxicity,1692721067574122089,8.1400,30,0,8.1300,0.0719,0,0.0000,0.0625,0.0000,0.3125,0.0000,0.0000,-1.0000,0.0000,0.0000
10,837,CLAR,baseline,1692721067574122089,8.1400,30,0,8.1300,0.0719,0,0.0000,0.0625,0.0000,0.3125,0.0000,0.0000,-1.0000,0.0000,0.0000
10,1430,EXPO,toxicity,1692720965170927241,89.2600,5,0,89.2550,0.1333,1,-0.0352,0.0000,0.2917,0.5000,0.0000,0.0000,-1.0000,0.0000,0.0000
10,1430,EXPO,baseline,1692720965170927241,89.2600,5,0,89.2550,0.1333,1,-0.0352,0.0000,0.2917,0.5000,0.0000,0.0000,-1.0000,0.0000,0.0000
10,1430,EXPO,baseline,1692727105708096968,89.5700,98,0,89.5600,0.2556,0,0.0000,0.1889,0.5000,0.5333,0.0000,0.0000,-1.0000,-0.6923,0.0034
10,1586,FORR,toxicity,1692723712259916834,30.8300,1,1,30.8350,0.1250,0,0.0000,0.0000,0.1667,0.5000,0.0000,0.1667,1.0000,0.0000,0.0000
10,1586,FORR,baseline,1692723712259916834,30.8300,1,1,30.8350,0.1250,0,0.0000,0.0000,0.1667,0.5000,0.0000,0.1667,1.0000,0.0000,0.0000
10,1595,1595,toxicity,1692732624611314710,0.4000,200,1,0.4085,0.1722,0,0.0000,0.0556,0.0000,0.0556,0.9444,0.0000,-0.0683,0.2658,0.0093
10,1595,1595,baseline,1692732624611314710,0.4000,200,1,0.4085,0.1722,0,0.0000,0.0556,0.0000,0.0556,0.9444,0.0000,-0.0683,0.2658,0.0093
10,1616,CIGI,toxicity,1692721075813720005,107.1900,5,0,107.1850,0.1667,0,0.0000,0.1667,0.1667,0.4444,0.0000,0.0000,-1.0000,0.0556,0.0000
10,1616,CIGI,baseline,1692721075813720005,107.1900,5,0,107.1850,0.1667,0,0.0000,0.1667,0.1667,0.4444,0.0000,0.0000,-1.0000,0.0556,0.0000
10,1693,GGAL,toxicity,1692721169011489081,15.2500,88,1,15.2550,0.1297,0,0.0000,0.2837,0.0139,0.0893,0.0000,0.0000,0.2477,1.5000,0.0016
10,1693,GGAL,toxicity,1692721169011489081,15.2500,10,1,15.2550,0.1297,0,0.0000,0.2837,0.0139,0.0893,0.0000,0.0000,0.2807,1.5000,0.0016
