group,symbol_index,ticker,baseline_pnl,toxicity_pnl,improvement,baseline_fills,toxicity_fills,quotes_suppressed,baseline_adverse_pnl,toxicity_adverse_pnl,baseline_inv_var,toxicity_inv_var
7,6,AAME,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,8,AAON,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,18,ABCB,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,38,38,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,39,ACAD,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,53,ACGL,-1.6349,0.1186,1.7535,7,1,13,-0.0770,-0.0533,1057.1429,0.0000
7,56,ACLS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,61,61,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,64,ACTG,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,65,65,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,66,66,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,67,67,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,68,68,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,69,69,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,70,70,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,71,71,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,74,74,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,76,76,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,77,77,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,79,ARQ,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,82,82,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,83,83,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,84,84,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,85,85,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,86,86,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,87,87,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,88,88,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,90,90,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,93,ADSK,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,106,AEIS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,115,115,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,129,AGEN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,135,AGYS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,143,MFIC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,146,AIRT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,148,AKAM,-1.2464,0.1136,1.3600,1,1,1,-0.0510,-0.0510,0.0000,0.0000
7,158,ALCO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,161,MATX,-152.9320,0.0488,152.9808,7,1,17,-0.2740,-0.0480,4562.3333,0.0000
7,166,ALKS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,174,ALNY,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,176,ALOT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,197,197,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,203,AMGN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,208,AMKR,-0.3392,0.0608,0.4000,2,2,1,-0.0360,-0.0360,50.0000,50.0000
7,211,211,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,213,ALNT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,222,AMRN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,223,AMSC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,225,225,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,232,AMWD,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,234,AMZN,-26.2321,0.0669,26.2990,11,1,51,-0.4548,-0.0396,6085.0727,0.0000
7,240,ANDE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,248,ANIK,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,256,HCKT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,267,CLFD,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,275,APOG,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,294,ARCC,0.0557,0.0557,0.0000,1,1,0,0.0000,0.0000,0.0000,0.0000
7,299,THRM,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,301,ARKR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,303,ARLP,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,308,AROW,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,319,ARTL,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,321,ARTNA,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,322,ARTW,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,325,ARWR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,351,ASRV,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,353,ASTE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,354,VCEL,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,358,ASYS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,363,GHI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,365,GNSS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,371,ATLO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,378,ATRC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,379,379,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,381,ATRO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,389,389,-0.3883,0.1844,0.5727,16,1,14,-0.2700,-0.0261,30339.1625,0.0000
7,391,AUBN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,392,AUDC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,402,402,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,403,SRPT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,416,AWRE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,418,AXTI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,421,421,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,430,NOTV,-1.6915,0.1362,1.8277,2,1,2,-0.0091,-0.0090,0.5000,0.0000
7,437,BBGI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,444,BBSI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,467,467,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,469,BELFA,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,470,BELFB,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,482,482,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,488,488,0.0194,0.0194,0.0000,2,2,0,0.0000,0.0000,18.0000,18.0000
7,493,BBT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,499,OPCH,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,505,BJRI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,512,512,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,518,BLKB,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,523,523,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,529,BMRC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,530,BMRN,-9.8041,0.0911,9.8952,2,1,2,-0.1485,-0.1485,2.0000,0.0000
7,546,BOKF,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,550,BOOM,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,556,BOSC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,562,BPOP,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,576,BRID,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,579,BRKR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,580,AZTA,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,587,BSET,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,590,590,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,592,BSRR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,604,604,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,608,BUSE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,621,BYFC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,623,CAAS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,626,CACC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,633,CAKE,-0.0628,0.0634,0.1262,4,1,7,-0.0165,-0.0624,399.5833,0.0000
7,640,CALM,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,643,643,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,644,CAMT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,658,CASH,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,659,CASS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,660,CASY,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,664,CATY,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,667,CBAN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,674,CBZ,-0.8030,0.1970,1.0000,1,1,1,-0.0450,-0.0450,0.0000,0.0000
7,682,CBRL,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,687,CBSH,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,693,CCBG,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,703,CCNE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,711,ATLC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,724,CDZI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
7,726,CECO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
