group,symbol,ticker,strategy,fill_time_ns,fill_price,fill_qty,is_buy,mid_price_at_fill,toxicity_at_fill,adverse_measured,adverse_pnl,cancel_ratio,ping_ratio,odd_lot_ratio,precision_ratio,resistance_ratio,trade_flow_imbalance,spread_change_rate,price_momentum
14,39,ACAD,baseline,1692715505249753287,29.9800,24,0,29.9800,0.1819,1,-0.0036,0.3490,0.0833,0.1113,0.0000,0.0897,-1.0000,-0.6000,0.0008
14,53,ACGL,toxicity,1692715249270208456,74.5900,2,0,74.5800,0.1236,1,-0.0006,0.1111,0.1667,0.3056,0.0000,0.0000,0.0526,0.2000,-0.0009
14,53,ACGL,toxicity,1692715255640254775,74.6000,2,0,74.5900,0.1278,1,0.0000,0.2111,0.0333,0.2444,0.0000,0.0000,-0.2593,0.2000,-0.0007
14,53,ACGL,baseline,1692715249270208456,74.5900,2,0,74.5800,0.1236,1,-0.0006,0.1111,0.1667,0.3056,0.0000,0.0000,0.0526,0.2000,-0.0009
14,53,ACGL,baseline,1692715255640254775,74.6000,2,0,74.5900,0.1278,1,0.0000,0.2111,0.0333,0.2444,0.0000,0.0000,-0.2593,0.2000,-0.0007
14,53,ACGL,baseline,1692715255640266556,74.6000,46,0,74.5900,0.1278,1,0.0000,0.2111,0.0333,0.2444,0.0000,0.0000,-0.7260,0.2000,-0.0007
14,53,ACGL,baseline,1692715255640322154,74.6000,46,0,74.5900,0.1069,1,0.0000,0.1806,0.0278,0.1944,0.0000,0.0000,-0.8319,0.2000,-0.0007
14,53,ACGL,baseline,1692715255640322154,74.6000,100,0,74.5900,0.1069,1,0.0000,0.1806,0.0278,0.1944,0.0000,0.0000,-0.9087,0.2000,-0.0007
14,53,ACGL,baseline,1692715556922958014,74.6500,6,1,74.6550,0.2018,1,-0.0117,0.3696,0.0556,0.2854,0.0000,0.0000,-0.5468,0.4000,0.0001
14,53,ACGL,baseline,1692715556922966281,74.6500,6,1,74.6550,0.2018,1,-0.0117,0.3696,0.0556,0.2854,0.0000,0.0000,-0.5243,0.4000,0.0001
14,53,ACGL,baseline,1692715556922974621,74.6500,11,1,74.6550,0.2018,1,-0.0214,0.3696,0.0556,0.2854,0.0000,0.0000,-0.4846,0.4000,0.0001
14,53,ACGL,baseline,1692715556923012858,74.6500,7,1,74.6550,0.2018,1,-0.0136,0.3696,0.0556,0.2854,0.0000,0.0000,-0.4605,0.4000,0.0001
14,53,ACGL,baseline,1692728811720137000,74.7000,98,1,74.7050,0.2086,1,-0.1470,0.3767,0.0184,0.3618,0.0000,0.0000,-0.3120,-0.4000,0.0008
14,148,AKAM,toxicity,1692715463759992581,101.7800,99,1,101.7850,0.1918,1,0.0000,0.3840,0.0111,0.2399,0.0000,0.0000,0.8182,-0.0000,0.0005
14,148,AKAM,baseline,1692715463759992581,101.7800,99,1,101.7850,0.1918,1,0.0000,0.3840,0.0111,0.2399,0.0000,0.0000,0.8182,-0.0000,0.0005
14,148,AKAM,baseline,1692715554584188111,101.7800,62,1,101.7850,0.2089,1,0.0000,0.4172,0.0000,0.2801,0.0000,0.0000,0.8837,0.2857,0.0005
14,148,AKAM,baseline,1692715554584206011,101.7800,19,1,101.7850,0.2056,1,0.0000,0.4199,0.0000,0.2510,0.0000,0.0000,0.8953,0.2857,0.0005
14,148,AKAM,baseline,1692715739975314803,101.8100,10,1,101.8150,0.1973,1,-0.0630,0.3675,0.0098,0.3221,0.0000,0.0000,0.9052,-0.0000,0.0008
14,222,AMRN,baseline,1692715447388355271,1.0600,299,0,1.0550,0.1800,1,-0.0897,0.3667,0.0000,0.0000,0.0000,0.3333,-1.0000,0.0000,0.0000
14,339,ASGN,toxicity,1692715561896168160,80.4800,7,1,80.4850,0.2025,1,-0.0042,0.4222,0.0860,0.1098,0.0000,0.0000,0.6690,0.2222,-0.0009
14,339,ASGN,baseline,1692715561896168160,80.4800,7,1,80.4850,0.2025,1,-0.0042,0.4222,0.0860,0.1098,0.0000,0.0000,0.6690,0.2222,-0.0009
14,550,BOOM,toxicity,1692728699741047039,23.6700,3,0,23.6600,0.0867,1,0.0000,0.0000,0.1333,0.4000,0.0000,0.0000,-1.0000,0.0000,0.0000
