group,symbol,ticker,strategy,fill_time_ns,fill_price,fill_qty,is_buy,mid_price_at_fill,toxicity_at_fill,adverse_measured,adverse_pnl,cancel_ratio,ping_ratio,odd_lot_ratio,precision_ratio,resistance_ratio,trade_flow_imbalance,spread_change_rate,price_momentum
12,240,ANDE,toxicity,1692733590598872591,50.5900,2,0,50.5850,0.2156,1,0.0000,0.2889,0.2000,0.4000,0.0000,0.0000,0.1111,-0.2500,0.0059
12,240,ANDE,toxicity,1692733700817656276,50.5800,72,1,50.5850,0.2383,0,0.0000,0.3486,0.1847,0.4125,0.0000,0.0000,0.8222,-0.2500,0.0059
12,240,ANDE,baseline,1692733590598872591,50.5900,2,0,50.5850,0.2156,1,0.0000,0.2889,0.2000,0.4000,0.0000,0.0000,0.1111,-0.2500,0.0059
12,240,ANDE,baseline,1692733700817656276,50.5800,72,1,50.5850,0.2383,0,0.0000,0.3486,0.1847,0.4125,0.0000,0.0000,0.8222,-0.2500,0.0059
12,470,BELFB,toxicity,1692733400464073707,49.4100,16,1,49.4150,0.1167,1,-0.0528,0.1667,0.0000,0.3333,0.0000,0.0000,0.9623,-0.4800,-0.0022
12,470,BELFB,baseline,1692733400464073707,49.4100,16,1,49.4150,0.1167,1,-0.0528,0.1667,0.0000,0.3333,0.0000,0.0000,0.9623,-0.4800,-0.0022
12,470,BELFB,baseline,1692733400464111193,49.4100,1,1,49.4150,0.1167,1,-0.0033,0.1667,0.0000,0.3333,0.0000,0.0000,0.9630,-0.4800,-0.0022
12,470,BELFB,baseline,1692733400464150696,49.4100,25,1,49.4150,0.1167,1,-0.0825,0.1667,0.0000,0.3333,0.0000,0.0000,0.9747,-0.4800,-0.0022
12,1366,EQIX,toxicity,1692720305501420608,7.5100,33,0,7.5008,0.3000,0,0.0000,0.0556,0.3889,0.5556,0.7778,0.0000,-1.0000,0.0000,0.0000
12,1366,EQIX,baseline,1692720305501420608,7.5100,33,0,7.5008,0.3000,0,0.0000,0.0556,0.3889,0.5556,0.7778,0.0000,-1.0000,0.0000,0.0000
